start,end,forecast
2024-02-09 00:00:00-05:00,2024-02-09 01:00:00-05:00,65512.0
2024-02-09 01:00:00-05:00,2024-02-09 02:00:00-05:00,64128.0
2024-02-09 02:00:00-05:00,2024-02-09 03:00:00-05:00,62696.0
2024-02-09 03:00:00-05:00,2024-02-09 04:00:00-05:00,62719.0
2024-02-09 04:00:00-05:00,2024-02-09 05:00:00-05:00,63103.0
2024-02-09 05:00:00-05:00,2024-02-09 06:00:00-05:00,64479.0
2024-02-09 06:00:00-05:00,2024-02-09 07:00:00-05:00,68277.0
2024-02-09 07:00:00-05:00,2024-02-09 08:00:00-05:00,72697.0
2024-02-09 08:00:00-05:00,2024-02-09 09:00:00-05:00,74741.0
2024-02-09 09:00:00-05:00,2024-02-09 10:00:00-05:00,74698.0
2024-02-09 10:00:00-05:00,2024-02-09 11:00:00-05:00,74153.0
2024-02-09 11:00:00-05:00,2024-02-09 12:00:00-05:00,73625.0
2024-02-09 12:00:00-05:00,2024-02-09 13:00:00-05:00,73067.0
2024-02-09 13:00:00-05:00,2024-02-09 14:00:00-05:00,72566.0
2024-02-09 14:00:00-05:00,2024-02-09 15:00:00-05:00,72015.0
2024-02-09 15:00:00-05:00,2024-02-09 16:00:00-05:00,71312.0
2024-02-09 16:00:00-05:00,2024-02-09 17:00:00-05:00,71013.0
2024-02-09 17:00:00-05:00,2024-02-09 18:00:00-05:00,71767.0
2024-02-09 18:00:00-05:00,2024-02-09 19:00:00-05:00,73441.0
2024-02-09 19:00:00-05:00,2024-02-09 20:00:00-05:00,73927.0
2024-02-09 20:00:00-05:00,2024-02-09 21:00:00-05:00,72860.0
2024-02-09 21:00:00-05:00,2024-02-09 22:00:00-05:00,71272.0
2024-02-09 22:00:00-05:00,2024-02-09 23:00:00-05:00,68975.0
2024-02-09 23:00:00-05:00,2024-02-10 00:00:00-05:00,67075.0
